,user,item,time_period,timestamp,position
90,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,0jVjQKGEmeztEbES9SWnyN,long,1666364044.2272007,40
91,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,1zSpGfRbZFizLLGbvlnKoM,long,1666364044.2272007,41
92,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,3juzwME2wAfLipw2NRQSZQ,long,1666364044.2272007,42
93,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,1wncJKswLOFktFWRGRjHcS,long,1666364044.2272007,43
94,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,7rhVGmZnwvqg2z2JJedkMX,long,1666364044.2272007,44
95,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,0gzzxl6BI8WSwJNGgUNV3D,long,1666364044.2272007,45
96,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,6VcRonz2dMc0xgbi5R14HF,long,1666364044.2272007,46
97,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,7mP4bBFQgt6B3sJfqkIzt2,long,1666364044.2272007,47
98,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,7tK9WnRIh3eiaGEb9fqoQj,long,1666364044.2272007,48
99,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,2LfyBCqm9JlARHp22qWMxt,long,1666364044.2272007,49
100,12f2e84ef897c8e32d9919871acbe861b4ac4b5ef261170a1a05b05518b6974b,10b4AEecewD0ns6uXImPEt,short,1666490948.3519237,0
102,12f2e84ef897c8e32d9919871acbe861b4ac4b5ef261170a1a05b05518b6974b,4y9OmPdcd9qSECK7Daz588,short,1666490948.3519237,2
103,12f2e84ef897c8e32d9919871acbe861b4ac4b5ef261170a1a05b05518b6974b,0spXmYRCgO10zVvQwkj4hZ,short,1666490948.3519237,3
107,12f2e84ef897c8e32d9919871acbe861b4ac4b5ef261170a1a05b05518b6974b,6Xom58OOXk2SoU711L2IXO,short,1666490948.3519237,7
108,12f2e84ef897c8e32d9919871acbe861b4ac4b5ef261170a1a05b05518b6974b,6t7WriKgVszATnrdBKSUAf,short,1666490948.3519237,8
109,12f2e84ef897c8e32d9919871acbe861b4ac4b5ef261170a1a05b05518b6974b,7mYt61pj41CSwSiOovNzk0,short,1666490948.3519237,9
110,12f2e84ef897c8e32d9919871acbe861b4ac4b5ef261170a1a05b05518b6974b,5JWPUEov2wlX7c0jhYZpeB,short,1666490948.3519237,10
111,12f2e84ef897c8e32d9919871acbe861b4ac4b5ef261170a1a05b05518b6974b,6VrQTLzzuyGIYjUDe4kAZk,short,1666490948.3519237,11
112,12f2e84ef897c8e32d9919871acbe861b4ac4b5ef261170a1a05b05518b6974b,2CBtdZVcpSwaxOcLUi1AGo,short,1666490948.3519237,12
113,12f2e84ef897c8e32d9919871acbe861b4ac4b5ef261170a1a05b05518b6974b,03xt2LxOcbaJn81ndTUsMD,short,1666490948.3519237,13
114,12f2e84ef897c8e32d9919871acbe861b4ac4b5ef261170a1a05b05518b6974b,15wPtgg6jsyMLhIkjcSpl4,short,1666490948.3519237,14
115,12f2e84ef897c8e32d9919871acbe861b4ac4b5ef261170a1a05b05518b6974b,31i56LZnwE6uSu3exoHjtB,short,1666490948.3519237,15
117,12f2e84ef897c8e32d9919871acbe861b4ac4b5ef261170a1a05b05518b6974b,47k7FCxk7ylTwKCnJ3QTVc,short,1666490948.3519237,17
118,12f2e84ef897c8e32d9919871acbe861b4ac4b5ef261170a1a05b05518b6974b,53XV0VrMvBcMBUWv5xSERU,short,1666490948.3519237,18
119,12f2e84ef897c8e32d9919871acbe861b4ac4b5ef261170a1a05b05518b6974b,5hF2LnbkpnXCkksMSeWcxZ,short,1666490948.3519237,19
121,12f2e84ef897c8e32d9919871acbe861b4ac4b5ef261170a1a05b05518b6974b,0HAqq2GcQKyi3s87GuN7jU,short,1666490948.3519237,21
